#
# Hybride sigma-pressure coefficients for LOTOS-EUROS.
# Half-level numbering is bottom-up.
#
# Selection of lowest 42 layers out of ECMWF L137 over full atmosphere,
# thinned uper layers until 26 are left.
# Coefficients copied from meteo archive with ECMWF data for LOTOS-EUROS.
#
# hlev, hyai [Pa]   , hybi [1]
#
    26,     0.0     , 0
    25,    18.60893 , 0
    24,   131.4255  , 0
    23,   492.616   , 0
    22,  1285.61    , 0
    21,  2677.348   , 0
    20,  4799.149   , 0
    19,  7727.412   , 0.0000067607
    18, 11660.07    , 0.001352806
    17, 16026.12    , 0.01481563
    16, 19343.51    , 0.05972841
    15, 20425.72    , 0.153125
    14, 18489.71    , 0.3085985
    13, 13427.77    , 0.5216192
    12,  8163.375   , 0.704669
    11,  4457.375   , 0.8272561
    10,  1961.5     , 0.9114482
     9,  1387.547   , 0.9318808
     8,   926.5078  , 0.9490644
     7,   568.0625  , 0.9633517
     6,   302.4766  , 0.9750784
     5,   122.1016  , 0.9845419
     4,    62.78125 , 0.9884995
     3,    22.83594 , 0.991984
     2,     3.757813, 0.9950025
     1,     0.0     , 0.9976301
     0,     0.0     , 1.0
